SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT,RESULT_DATE,DAYS_TO_OR_SINCE_RESULTS,CATALYST_CONTEXT
APLAPOLLO,2026-08-03,NEW_EP,True,1,2026-08-03,1941.5,1819.5,1,1941.5,1819.5,4251591.0,639705.06,6.65,6.71,0,0,,,NO_CATALYST
ASKAUTOLTD,2026-08-03,NEW_EP,True,1,2026-08-03,569.65,528.05,1,569.65,528.05,1082723.0,211255.82,5.13,7.88,0,0,,,NO_CATALYST
ATULAUTO,2026-08-03,NEW_EP,True,1,2026-08-03,563.35,515.45,1,563.35,515.45,1998434.0,157159.96,12.72,9.29,0,0,,,NO_CATALYST
BALRAMCHIN,2026-08-03,NEW_EP,True,1,2026-08-03,646.8,586.2,1,646.8,586.2,3161974.0,615389.04,5.14,10.34,0,0,,,NO_CATALYST
BLUEDART,2026-08-03,NEW_EP,True,1,2026-08-03,5427.0,5160.3,1,5427.0,5160.3,601176.0,12915.26,46.55,5.17,0,0,,,NO_CATALYST
DALMIASUG,2026-08-03,NEW_EP,True,1,2026-08-03,411.85,350.9,1,411.85,350.9,10294952.0,245478.96,41.94,17.37,0,0,,,NO_CATALYST
DEEPINDS,2026-08-03,NEW_EP,True,1,2026-08-03,649.3,596.9,1,649.3,596.9,3599984.0,437029.72,8.24,8.78,0,0,,,NO_CATALYST
DHAMPURSUG,2026-08-03,NEW_EP,True,1,2026-08-03,143.84,135.48,1,143.84,135.48,1242280.0,218505.96,5.69,6.17,0,0,,,NO_CATALYST
ETHOSLTD,2026-08-03,NEW_EP,True,1,2026-08-03,2962.7,2575.4,1,2962.7,2575.4,1592283.0,35135.74,45.32,15.04,0,0,,,NO_CATALYST
IGPL,2026-08-03,NEW_EP,True,1,2026-08-03,496.65,471.25,1,496.65,471.25,185122.0,36252.76,5.11,5.39,0,0,,,NO_CATALYST
INDGN,2026-08-03,NEW_EP,True,1,2026-08-03,545.25,515.15,1,545.25,515.15,1886714.0,217902.4,8.66,5.84,0,0,,,NO_CATALYST
KABRAEXTRU,2026-08-03,NEW_EP,True,1,2026-08-03,418.6,394.95,1,418.6,394.95,873684.0,149031.46,5.86,5.99,0,0,,,NO_CATALYST
KIOCL,2026-08-03,NEW_EP,True,1,2026-08-03,394.9,365.55,1,394.9,365.55,2831917.0,193351.36,14.65,8.03,0,0,,,NO_CATALYST
LUMAXIND,2026-08-03,NEW_EP,True,1,2026-08-03,5772.5,5284.5,1,5772.5,5284.5,106937.0,16840.62,6.35,9.23,0,0,,,NO_CATALYST
NOCIL,2026-08-03,NEW_EP,True,1,2026-08-03,174.05,164.17,1,174.05,164.17,12374720.0,1297482.36,9.54,6.02,0,0,,,NO_CATALYST
PROSTARM,2026-08-03,NEW_EP,True,1,2026-08-03,135.87,127.04,1,135.87,127.04,1483618.0,259772.66,5.71,6.95,0,0,,,NO_CATALYST
RATNAVEER,2026-08-03,NEW_EP,True,1,2026-08-03,205.79,181.38,1,205.79,181.38,39358650.0,3378733.12,11.65,13.46,0,0,,,NO_CATALYST
REDINGTON,2026-08-03,NEW_EP,True,1,2026-08-03,347.85,321.65,1,347.85,321.65,69118282.0,6508881.22,10.62,8.15,0,0,,,NO_CATALYST
ROSSTECH,2026-08-03,NEW_EP,True,1,2026-08-03,1067.1,954.1,1,1067.1,954.1,1333256.0,235710.16,5.66,11.84,0,0,,,NO_CATALYST
SPORTKING,2026-08-03,NEW_EP,True,1,2026-08-03,229.63,201.26,1,229.63,201.26,12667361.0,608563.8,20.82,14.1,0,0,,,NO_CATALYST
URBANCO,2026-08-03,NEW_EP,True,1,2026-08-03,146.19,129.39,1,146.19,129.39,92834272.0,3313484.62,28.02,12.98,0,0,,,NO_CATALYST
UTTAMSUGAR,2026-08-03,NEW_EP,True,1,2026-08-03,240.45,222.33,1,240.45,222.33,459755.0,87854.7,5.23,8.15,0,0,,,NO_CATALYST
VINDHYATEL,2026-08-03,NEW_EP,True,1,2026-08-03,2383.0,1985.9,1,2383.0,1985.9,605417.0,96104.64,6.3,20.0,0,0,,,NO_CATALYST
