SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT,RESULT_DATE,DAYS_TO_OR_SINCE_RESULTS,CATALYST_CONTEXT
APLAPOLLO,2026-08-18,SUSTAINED_EP,False,1,2026-08-03,1941.5,1819.5,12,2115.0,2081.3,418384.0,645811.3,0.6478424889747206,1.62,0,5,,,NO_CATALYST
ATULAUTO,2026-08-18,FIZZLE_OUT_EP,False,1,2026-08-03,563.35,515.45,12,493.3,498.0,74007.0,260417.44,0.28418603608114723,-0.94,1,0,,,
ETHOSLTD,2026-08-18,SUSTAINED_EP,True,1,2026-08-03,2962.7,2575.4,12,2892.2,2788.6,961244.0,79853.5,12.037593843726324,3.72,0,1,,,NO_CATALYST
INDGN,2026-08-18,SUSTAINED_EP,False,1,2026-08-03,545.25,515.15,12,567.7,561.75,161896.0,408616.82,0.396204933512037,1.06,0,5,,,NO_CATALYST
RATNAVEER,2026-08-18,SUSTAINED_EP,True,1,2026-08-03,205.79,181.38,12,252.19,244.87,11984087.0,5923203.78,2.0232440829513383,2.99,3,4,,,NO_CATALYST
UTTAMSUGAR,2026-08-18,SUSTAINED_EP,True,1,2026-08-03,240.45,222.33,12,290.32,283.0,559821.0,145441.56,3.8491130045634825,2.59,3,3,,,NO_CATALYST
EPACKPEB,2026-08-18,FIZZLE_OUT_EP,False,1,2026-08-04,260.35,243.95,11,223.85,221.55,532737.0,2319272.84,0.2297000123538721,1.04,0,0,,,
GRAPHITE,2026-08-18,SUSTAINED_EP,False,1,2026-08-04,710.05,657.95,11,737.15,729.5,943780.0,1243758.32,0.7588130144126393,1.05,0,6,,,NO_CATALYST
PAUSHAKLTD,2026-08-18,SUSTAINED_EP,True,1,2026-08-04,735.2,652.8,11,752.35,734.2,43118.0,74027.74,0.5824573328862936,2.47,1,1,,,NO_CATALYST
YASHO,2026-08-18,PERSISTENT_EP,True,1,2026-08-04,4359.9,3884.8,11,4915.8,4362.3,240192.0,56246.62,4.270336599781462,12.69,1,3,,,NO_CATALYST
FIEMIND,2026-08-18,FIZZLE_OUT_EP,True,1,2026-08-05,2498.0,2324.5,10,2219.1,2281.7,131958.0,76886.42,1.7162718721979773,-2.74,1,2,,,
GODIGIT,2026-08-18,FIZZLE_OUT_EP,False,1,2026-08-05,280.4,263.3,10,255.75,254.85,58616.0,851152.94,0.06886658935819455,0.35,0,0,,,
MMP,2026-08-18,PERSISTENT_EP,True,1,2026-08-05,329.35,301.05,10,377.05,350.0,191009.0,63586.68,3.0039152854025404,7.73,2,2,,,NO_CATALYST
OMNI,2026-08-18,FIZZLE_OUT_EP,False,1,2026-08-05,732.6,610.5,10,581.6,564.45,442473.0,1248213.34,0.35448507544391405,3.04,0,0,,,
PTC,2026-08-18,FIZZLE_OUT_EP,False,1,2026-08-05,198.36,183.44,10,158.89,160.62,1401008.0,1829901.56,0.7656193265390735,-1.08,0,1,,,
UNIPARTS,2026-08-18,SUSTAINED_EP,False,1,2026-08-05,801.65,732.95,10,825.85,801.15,223637.0,191691.46,1.166650825237598,3.08,0,3,,,NO_CATALYST
WESTLIFE,2026-08-18,SUSTAINED_EP,False,1,2026-08-05,587.0,542.55,10,587.75,579.6,36576.0,175907.94,0.2079269417855726,1.41,0,3,,,NO_CATALYST
BIRLANU,2026-08-18,SUSTAINED_EP,True,1,2026-08-06,1538.7,1396.6,9,1588.8,1551.8,11753.0,25113.28,0.4679994011136737,2.38,1,1,,,NO_CATALYST
DECNGOLD,2026-08-18,SUSTAINED_EP,False,1,2026-08-06,225.43,199.03,9,244.05,239.9,4205721.0,3111772.68,1.35155148929452,1.73,0,3,,,NO_CATALYST
IGARASHI,2026-08-18,FIZZLE_OUT_EP,False,1,2026-08-06,493.8,461.05,9,450.4,454.9,106671.0,571662.06,0.18659800512211705,-0.99,0,0,,,
SUNDRMFAST,2026-08-18,SUSTAINED_EP,False,1,2026-08-06,1085.25,1030.45,9,1228.3,1214.75,334446.0,173459.84,1.9280889455449746,1.12,1,3,,,NO_CATALYST
AVALON,2026-08-18,PERSISTENT_EP,False,1,2026-08-07,1965.3,1774.5,8,2197.3,2059.4,1136151.0,404058.18,2.81185001625261,6.7,2,1,,,NO_CATALYST
GOCLCORP,2026-08-18,FIZZLE_OUT_EP,False,1,2026-08-07,438.25,410.55,8,401.65,408.0,42815.0,149004.22,0.2873408551784641,-1.56,0,0,,,
MOTHERSON,2026-08-18,SUSTAINED_EP,True,1,2026-08-07,168.5,155.0,8,170.4,168.06,12696084.0,21190783.56,0.5991323522347373,1.39,0,1,,,NO_CATALYST
WINDMACHIN,2026-08-18,PERSISTENT_EP,True,1,2026-08-07,303.55,276.5,8,318.9,300.4,1516405.0,173133.88,8.758568802362657,6.16,1,0,,,NO_CATALYST
AARTIPHARM,2026-08-18,SUSTAINED_EP,False,1,2026-08-10,823.0,685.85,7,874.55,861.95,316783.0,644109.24,0.4918156429490128,1.46,1,2,,,NO_CATALYST
BEML,2026-08-18,SUSTAINED_EP,False,1,2026-08-10,1884.4,1787.8,7,1965.5,1908.5,723941.0,333207.08,2.1726459113653886,2.99,0,2,,,NO_CATALYST
SKYGOLD,2026-08-18,SUSTAINED_EP,False,1,2026-08-10,779.6,719.4,7,795.05,776.4,703295.0,1335988.78,0.5264228341797901,2.4,0,2,,,NO_CATALYST
