SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT,RESULT_DATE,DAYS_TO_OR_SINCE_RESULTS,CATALYST_CONTEXT
ATULAUTO,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-03,563.35,515.45,38,447.55,457.75,48768.0,232850.6,0.2094390136851698,-2.23,1,0,,,
BLUEDART,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-03,5427.0,5160.3,38,4793.0,4799.5,4436.0,24861.76,0.17842662788153374,-0.14,0,0,,,
KIOCL,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-03,394.9,365.55,38,340.65,349.35,42480.0,175959.22,0.24141957437638106,-2.49,0,4,,,
REDINGTON,2026-09-24,SUSTAINED_EP,False,1,2026-08-03,347.85,321.65,38,406.4,400.75,4726104.0,8035030.6,0.5881874301760593,1.41,0,13,,,NO_CATALYST
BASF,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-04,3947.1,3729.7,37,3523.9,3580.4,13349.0,46615.96,0.2863611518458485,-1.58,0,5,,,
KEI,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-04,5500.0,5023.3,37,4636.5,4722.5,224864.0,531029.42,0.4234492318711833,-1.82,0,6,,,
FIEMIND,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-05,2498.0,2324.5,36,1917.2,1924.5,53114.0,93596.26,0.5674799399035817,-0.38,1,2,,,
GODIGIT,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-05,280.4,263.3,36,250.3,245.0,4077269.0,781526.4,5.217058566415671,2.16,0,0,,,
KANSAINER,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-05,210.38,198.92,36,179.41,182.58,146681.0,313524.44,0.4678455051223439,-1.74,0,2,,,
OMNI,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-05,732.6,610.5,36,547.85,553.7,356073.0,1411066.08,0.25234324958048737,-1.06,0,0,,,
PTC,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-05,198.36,183.44,36,155.89,157.08,1398404.0,2170186.72,0.6443703609060882,-0.76,0,1,,,
BAJAJELEC,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-06,382.5,348.1,35,321.45,329.4,85820.0,452179.76,0.18979177661556546,-2.41,0,0,,,
GMMPFAUDLR,2026-09-24,SUSTAINED_EP,False,1,2026-08-06,979.85,857.1,35,1475.4,1432.6,403019.0,436419.2,0.9234676201230376,2.99,4,13,,,NO_CATALYST
IGARASHI,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-06,493.8,461.05,35,418.35,431.8,42460.0,494942.34,0.08578777075325582,-3.11,0,0,,,
MAZDOCK,2026-09-24,FIZZLE_OUT_EP,False,1,2026-08-06,2530.0,2380.5,35,2202.0,2211.5,463672.0,749132.66,0.6189451144741173,-0.43,0,2,,,
