SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT,RESULT_DATE,DAYS_TO_OR_SINCE_RESULTS,CATALYST_CONTEXT
APLAPOLLO,2026-08-10,SUSTAINED_EP,False,1,2026-08-03,1941.5,1819.5,6,2020.0,1970.0,587468.0,701312.82,0.8376689877136426,2.54,0,3,,,NO_CATALYST
ASKAUTOLTD,2026-08-10,SUSTAINED_EP,True,1,2026-08-03,569.65,528.05,6,655.6,634.95,1159253.0,797004.32,1.4545128187009075,3.25,2,1,,,NO_CATALYST
BALRAMCHIN,2026-08-10,SUSTAINED_EP,False,1,2026-08-03,646.8,586.2,6,655.25,633.45,890042.0,709272.84,1.2548654760275326,3.44,0,2,,,NO_CATALYST
DALMIASUG,2026-08-10,SUSTAINED_EP,False,1,2026-08-03,411.85,350.9,6,418.95,404.4,1169775.0,541487.54,2.1602990162986946,3.6,0,2,,,NO_CATALYST
DEEPINDS,2026-08-10,SUSTAINED_EP,False,1,2026-08-03,649.3,596.9,6,647.95,638.9,248088.0,529291.36,0.4687172675556238,1.42,0,2,,,NO_CATALYST
DHAMPURSUG,2026-08-10,PERSISTENT_EP,False,1,2026-08-03,143.84,135.48,6,159.43,150.89,1387689.0,279351.9,4.967530201154887,5.66,2,0,,,NO_CATALYST
INDGN,2026-08-10,SUSTAINED_EP,False,1,2026-08-03,545.25,515.15,6,568.75,554.45,1362509.0,365639.66,3.726370930330698,2.58,0,3,,,NO_CATALYST
KABRAEXTRU,2026-08-10,PERSISTENT_EP,False,1,2026-08-03,418.6,394.95,6,510.75,448.6,2087098.0,219308.86,9.51670625619047,13.85,3,0,,,NO_CATALYST
UTTAMSUGAR,2026-08-10,SUSTAINED_EP,False,1,2026-08-03,240.45,222.33,6,258.72,252.77,291883.0,111000.7,2.629559993765805,2.35,1,2,,,NO_CATALYST
VINDHYATEL,2026-08-10,PERSISTENT_EP,True,1,2026-08-03,2383.0,1985.9,6,2438.4,2241.7,290773.0,85663.68,3.394355694268563,8.77,1,0,,,NO_CATALYST
ALIVUS,2026-08-10,SUSTAINED_EP,True,1,2026-08-04,1335.8,1214.4,5,1374.5,1329.8,342674.0,128831.12,2.659869758176441,3.36,0,1,,,NO_CATALYST
ALKYLAMINE,2026-08-10,SUSTAINED_EP,True,1,2026-08-04,1921.2,1824.4,5,1916.4,1893.9,66960.0,189498.54,0.3533536458908865,1.19,0,1,,,NO_CATALYST
GRAPHITE,2026-08-10,SUSTAINED_EP,False,1,2026-08-04,710.05,657.95,5,722.9,709.95,966513.0,1285435.46,0.7518953927099538,1.82,0,2,,,NO_CATALYST
KEI,2026-08-10,SUSTAINED_EP,False,1,2026-08-04,5500.0,5023.3,5,5659.8,5600.0,369745.0,395269.1,0.9354260173638669,1.07,0,2,,,NO_CATALYST
MANYAVAR,2026-08-10,SUSTAINED_EP,False,1,2026-08-04,485.9,418.75,5,524.9,516.9,793752.0,1224328.04,0.6483164430343358,1.55,0,3,,,NO_CATALYST
AGARWALEYE,2026-08-10,SUSTAINED_EP,False,1,2026-08-05,521.05,493.5,4,560.7,546.25,202004.0,96556.94,2.0920712690356593,2.65,0,3,,,NO_CATALYST
EMIL,2026-08-10,PERSISTENT_EP,False,1,2026-08-05,147.56,133.17,4,180.77,165.83,101219512.0,3091871.04,32.737300712257394,9.01,2,1,,,NO_CATALYST
JGCHEM,2026-08-10,PERSISTENT_EP,True,1,2026-08-05,548.25,505.75,4,622.2,552.8,10811484.0,240228.62,45.00497900708084,12.55,1,1,,,NO_CATALYST
KANSAINER,2026-08-10,SUSTAINED_EP,True,1,2026-08-05,210.38,198.92,4,215.65,212.35,547826.0,336443.54,1.6282850905682422,1.55,0,1,,,NO_CATALYST
MMP,2026-08-10,PERSISTENT_EP,True,1,2026-08-05,329.35,301.05,4,343.65,326.25,323912.0,57407.8,5.642299478468082,5.33,1,0,,,NO_CATALYST
OMNI,2026-08-10,FIZZLE_OUT_EP,False,1,2026-08-05,732.6,610.5,4,552.85,578.35,3607092.0,1055703.08,3.4167675252022565,-4.41,0,0,,,
PTC,2026-08-10,FIZZLE_OUT_EP,True,1,2026-08-05,198.36,183.44,4,177.99,203.3,4133683.0,1697824.34,2.4346941568760876,-12.45,0,1,,,
SHILPAMED,2026-08-10,PERSISTENT_EP,True,1,2026-08-05,721.75,644.65,4,807.55,759.75,6377695.0,1864815.98,3.42001305673067,6.29,1,2,,,NO_CATALYST
SUDEEPPHRM,2026-08-10,PERSISTENT_EP,True,1,2026-08-05,958.95,871.8,4,1053.3,957.55,875265.0,346721.4,2.524404320010244,10.0,1,1,,,NO_CATALYST
UNIPARTS,2026-08-10,SUSTAINED_EP,True,1,2026-08-05,801.65,732.95,4,824.8,814.6,284761.0,199049.7,1.430602507815887,1.25,0,1,,,NO_CATALYST
VARROC,2026-08-10,SUSTAINED_EP,True,1,2026-08-05,717.6,680.75,4,825.95,811.2,1417670.0,491982.18,2.8815474576741784,1.82,1,2,,,NO_CATALYST
KOLTEPATIL,2026-08-10,SUSTAINED_EP,False,1,2026-08-06,429.3,392.6,3,462.2,445.1,479812.0,94372.06,5.0842590487057295,3.84,0,2,,,NO_CATALYST
MAZDOCK,2026-08-10,SUSTAINED_EP,True,1,2026-08-06,2530.0,2380.5,3,2575.0,2514.9,1466868.0,834640.68,1.757484430305985,2.39,0,1,,,NO_CATALYST
STOVEKRAFT,2026-08-10,SUSTAINED_EP,True,1,2026-08-06,800.2,756.0,3,808.85,797.55,534797.0,256194.32,2.0874662638890666,1.42,0,1,,,NO_CATALYST
SUNDRMFAST,2026-08-10,SUSTAINED_EP,True,1,2026-08-06,1085.25,1030.45,3,1121.3,1090.55,208138.0,142944.94,1.4560711278062728,2.82,0,1,,,NO_CATALYST
ARVSMART,2026-08-10,SUSTAINED_EP,True,1,2026-08-07,650.75,603.3,2,658.95,650.75,1145511.0,247674.74,4.625061885600445,1.26,0,1,,,NO_CATALYST
INDRAMEDCO,2026-08-10,SUSTAINED_EP,True,1,2026-08-07,380.65,361.85,2,390.75,380.65,547240.0,359776.32,1.5210561940263327,2.65,0,1,,,NO_CATALYST
SBCL,2026-08-10,PERSISTENT_EP,True,1,2026-08-07,920.9,767.45,2,1105.05,920.9,10977312.0,524491.58,20.929434176998612,20.0,1,0,,,NO_CATALYST
AARTIPHARM,2026-08-10,NEW_EP,True,1,2026-08-10,823.0,685.85,1,823.0,685.85,3125635.0,217584.16,14.37,20.0,0,0,,,NO_CATALYST
BEML,2026-08-10,NEW_EP,True,1,2026-08-10,1884.4,1787.8,1,1884.4,1787.8,2639115.0,277119.76,9.52,5.4,0,0,,,NO_CATALYST
COMSYN,2026-08-10,NEW_EP,True,1,2026-08-10,269.03,224.83,1,269.03,224.83,7601640.0,888007.74,8.56,19.66,0,0,,,NO_CATALYST
DMCC,2026-08-10,NEW_EP,True,1,2026-08-10,313.1,277.65,1,313.1,277.65,1239702.0,82560.24,15.02,12.77,0,0,,,NO_CATALYST
ENTERO,2026-08-10,NEW_EP,True,1,2026-08-10,1315.1,1242.7,1,1315.1,1242.7,1413561.0,100849.58,14.02,5.83,0,0,,,NO_CATALYST
GARUDA,2026-08-10,NEW_EP,True,1,2026-08-10,194.51,180.5,1,194.51,180.5,12216239.0,791852.24,15.43,7.76,0,0,,,NO_CATALYST
KPL,2026-08-10,NEW_EP,True,1,2026-08-10,3134.1,2611.8,1,3134.1,2611.8,409430.0,31531.8,12.98,20.0,0,0,,,NO_CATALYST
PAYTM,2026-08-10,NEW_EP,True,1,2026-08-10,1584.1,1441.6,1,1584.1,1441.6,20046110.0,3127220.22,6.41,9.88,0,0,,,NO_CATALYST
PIXTRANS,2026-08-10,NEW_EP,True,1,2026-08-10,1986.5,1717.2,1,1986.5,1717.2,1309397.0,104357.8,12.55,15.68,0,0,,,NO_CATALYST
RAMCOIND,2026-08-10,NEW_EP,True,1,2026-08-10,377.2,339.65,1,377.2,339.65,21233222.0,838761.1,25.31,11.06,0,0,,,NO_CATALYST
SKYGOLD,2026-08-10,NEW_EP,True,1,2026-08-10,779.6,719.4,1,779.6,719.4,8041621.0,1360349.72,5.91,8.37,0,0,,,NO_CATALYST
SURAKSHA,2026-08-10,NEW_EP,True,1,2026-08-10,265.5,249.55,1,265.5,249.55,820979.0,57539.32,14.27,6.39,0,0,,,NO_CATALYST
THOMASCOTT,2026-08-10,NEW_EP,True,1,2026-08-10,349.05,315.15,1,349.05,315.15,1261363.0,54638.34,23.09,10.76,0,0,,,NO_CATALYST
UNIVCABLES,2026-08-10,NEW_EP,True,1,2026-08-10,1693.4,1411.2,1,1693.4,1411.2,1907323.0,229111.44,8.32,20.0,0,0,,,NO_CATALYST
