SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT
ASTRAL,2026-08-13,NEW_EP,True,1,2026-08-13,1592.0,1464.0,1,1592.0,1464.0,12371579.0,602341.46,20.54,8.74,0,0
GPIL,2026-08-13,NEW_EP,True,1,2026-08-13,243.31,228.99,1,243.31,228.99,7876082.0,1378705.48,5.71,6.25,0,0
INGERRAND,2026-08-13,NEW_EP,True,1,2026-08-13,4606.4,4292.2,1,4606.4,4292.2,163507.0,19277.52,8.48,7.32,0,0
JUBLCPL,2026-08-13,NEW_EP,True,1,2026-08-13,2322.6,1935.5,1,2322.6,1935.5,282404.0,9637.74,29.3,20.0,0,0
MIDHANI,2026-08-13,NEW_EP,True,1,2026-08-13,444.85,408.45,1,444.85,408.45,16215062.0,973722.04,16.65,8.91,0,0
MUNJALAU,2026-08-13,NEW_EP,True,1,2026-08-13,119.37,99.83,1,119.37,99.83,41518431.0,1567173.44,26.49,19.57,0,0
PRECWIRE,2026-08-13,NEW_EP,True,1,2026-08-13,468.65,422.3,1,468.65,422.3,6856445.0,369599.54,18.55,10.98,0,0
RSL,2026-08-13,NEW_EP,True,1,2026-08-13,166.77,155.92,1,166.77,155.92,4889441.0,370011.4,13.21,6.96,0,0
SARDAEN,2026-08-13,NEW_EP,True,1,2026-08-13,523.3,489.45,1,523.3,489.45,23546092.0,299880.54,78.52,6.92,0,0
SKFINDIA,2026-08-13,NEW_EP,True,1,2026-08-13,1606.3,1527.6,1,1606.3,1527.6,1387004.0,39448.82,35.16,5.15,0,0
SOLARINDS,2026-08-13,NEW_EP,True,1,2026-08-13,20324.0,18730.0,1,20324.0,18730.0,704549.0,125313.18,5.62,8.51,0,0
SURAKSHA,2026-08-13,NEW_EP,True,1,2026-08-13,304.45,270.35,1,304.45,270.35,3887175.0,84455.3,46.03,12.61,0,0
VADILALIND,2026-08-13,NEW_EP,True,1,2026-08-13,7781.0,7246.5,1,7781.0,7246.5,356735.0,22499.8,15.86,7.38,0,0
