SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT,RESULT_DATE,DAYS_TO_OR_SINCE_RESULTS,CATALYST_CONTEXT
ATULAUTO,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-03,563.35,515.45,23,466.4,476.05,124489.0,262915.68,0.47349401146405573,-2.03,1,0,,,
BLUEDART,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-03,5427.0,5160.3,23,5017.5,5105.0,23531.0,25365.06,0.9276934491777271,-1.71,0,0,,,
REDINGTON,2026-09-02,SUSTAINED_EP,False,1,2026-08-03,347.85,321.65,23,363.2,349.6,10766413.0,6803444.32,1.5824944680373307,3.89,0,6,,,NO_CATALYST
URBANCO,2026-09-02,SUSTAINED_EP,True,1,2026-08-03,146.19,129.39,23,171.84,167.63,6821540.0,9574353.36,0.7124804927818124,2.51,2,3,,,NO_CATALYST
VINDHYATEL,2026-09-02,PERSISTENT_EP,True,1,2026-08-03,2383.0,1985.9,23,2737.1,2576.7,192191.0,71778.4,2.6775603802815335,6.23,4,3,,,NO_CATALYST
CAPILLARY,2026-09-02,FIZZLE_OUT_EP,True,1,2026-08-04,534.95,495.55,22,484.0,491.8,79393.0,753127.56,0.1054177329534986,-1.59,1,2,,,
EPACKPEB,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-04,260.35,243.95,22,225.04,224.0,479629.0,1211656.56,0.3958456676865596,0.46,0,0,,,
PNGSREVA,2026-09-02,SUSTAINED_EP,False,1,2026-08-04,510.95,443.25,22,521.7,511.25,194259.0,420407.7,0.4620728878181822,2.04,2,3,,,NO_CATALYST
AGARWALEYE,2026-09-02,SUSTAINED_EP,False,1,2026-08-05,521.05,493.5,21,514.25,508.7,640862.0,1199379.04,0.5343281636804325,1.09,0,6,,,NO_CATALYST
FIEMIND,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-05,2498.0,2324.5,21,2052.0,2085.7,55396.0,84975.4,0.6519063164162805,-1.62,1,2,,,
KANSAINER,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-05,210.38,198.92,21,194.82,194.75,279290.0,273577.0,1.0208826034352303,0.04,0,2,,,
OMNI,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-05,732.6,610.5,21,543.15,535.6,373850.0,1273096.04,0.2936542006681601,1.41,0,0,,,
PTC,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-05,198.36,183.44,21,155.44,155.2,761035.0,2018679.56,0.3769964362248756,0.15,0,1,,,
VSSL,2026-09-02,SUSTAINED_EP,False,1,2026-08-05,329.35,304.8,21,362.1,354.85,106991.0,201837.76,0.5300841626462759,2.04,1,5,,,NO_CATALYST
BAJAJELEC,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-06,382.5,348.1,20,323.6,325.85,100313.0,461164.74,0.2175209665856067,-0.69,0,0,,,
IGARASHI,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-06,493.8,461.05,20,415.0,421.05,32627.0,271488.24,0.12017831785273646,-1.44,0,0,,,
KOLTEPATIL,2026-09-02,SUSTAINED_EP,False,1,2026-08-06,429.3,392.6,20,440.8,436.2,77009.0,389526.14,0.19769918393666724,1.05,1,5,,,NO_CATALYST
GOCLCORP,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-07,438.25,410.55,19,391.7,387.35,22496.0,99450.84,0.22620221206779148,1.12,0,0,,,
INDRAMEDCO,2026-09-02,FIZZLE_OUT_EP,True,1,2026-08-07,380.65,361.85,19,352.35,357.8,295932.0,328451.5,0.9009914705824148,-1.52,0,2,,,
ENRIN,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-07,3648.8,3252.2,19,3119.3,3172.5,245835.0,601443.46,0.40874166293204023,-1.68,0,1,,,
TRAVELFOOD,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-07,1428.6,1337.2,19,1273.5,1270.5,102712.0,70938.02,1.4479118531924065,0.24,0,0,,,
BEML,2026-09-02,SUSTAINED_EP,False,1,2026-08-10,1884.4,1787.8,18,2032.4,1970.2,966324.0,356358.4,2.711663314236454,3.16,0,5,,,NO_CATALYST
GARUDA,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-10,194.51,180.5,18,174.34,179.85,459289.0,1118704.68,0.41055428497894547,-3.06,0,0,,,
RAMCOIND,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-10,377.2,339.65,18,319.5,323.7,122658.0,1328204.34,0.09234874206178245,-1.3,0,0,,,
ARE&M,2026-09-02,FIZZLE_OUT_EP,True,1,2026-08-11,970.25,897.7,17,871.25,879.9,410795.0,971870.04,0.42268511538847314,-0.98,0,0,,,
CHENNPETRO,2026-09-02,SUSTAINED_EP,False,1,2026-08-11,1426.1,1240.1,17,1414.0,1387.0,1672746.0,2040055.5,0.8199512219152861,1.95,0,5,,,NO_CATALYST
ESTER,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-11,104.5,99.22,17,94.05,92.68,95277.0,225454.52,0.42259964448705667,1.48,0,0,,,
WINDLAS,2026-09-02,PERSISTENT_EP,True,1,2026-08-11,943.1,839.65,17,1096.6,1008.35,1564975.0,115319.86,13.570732742825044,8.75,3,3,,,NO_CATALYST
ALICON,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-12,772.95,728.55,16,665.5,659.65,22999.0,36422.54,0.6314496462904564,0.89,0,0,,,
ARIES,2026-09-02,PERSISTENT_EP,False,1,2026-08-12,397.35,355.8,16,495.35,458.85,480377.0,76966.88,6.241346927405658,7.95,4,2,,,NO_CATALYST
DOLPHIN,2026-09-02,SUSTAINED_EP,False,1,2026-08-12,494.35,440.55,16,603.45,583.3,34269.0,87566.34,0.39134900465178746,3.45,2,3,,,NO_CATALYST
GIPCL,2026-09-02,SUSTAINED_EP,False,1,2026-08-12,174.05,164.64,16,205.94,198.8,1526007.0,701050.58,2.17674308179019,3.59,2,5,,,NO_CATALYST
KENNAMET,2026-09-02,SUSTAINED_EP,False,1,2026-08-12,3572.3,3301.9,16,4643.1,4558.2,35878.0,39202.0,0.9152084077342992,1.86,1,7,,,NO_CATALYST
MARKSANS,2026-09-02,SUSTAINED_EP,False,1,2026-08-12,312.6,278.95,16,332.5,322.4,6573003.0,3534050.86,1.8599061701109758,3.13,1,3,,,NO_CATALYST
ORISSAMINE,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-12,4839.4,4504.8,16,4308.6,4325.0,4729.0,29248.74,0.1616821784459775,-0.38,0,1,,,
PITTIENG,2026-09-02,SUSTAINED_EP,False,1,2026-08-12,1044.1,960.35,16,1093.0,1074.7,71422.0,97515.22,0.7324190008493033,1.7,1,4,,,NO_CATALYST
TDPOWERSYS,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-12,1480.1,1275.6,16,735.05,758.05,1116065.0,1512277.9,0.7380025853713792,-3.03,0,2,,,
INGERRAND,2026-09-02,SUSTAINED_EP,True,1,2026-08-13,4606.4,4292.2,15,4883.5,4794.0,78135.0,25183.64,3.1026094718634796,1.87,1,2,,,NO_CATALYST
RSL,2026-09-02,SUSTAINED_EP,False,1,2026-08-13,166.77,155.92,15,178.98,176.74,159908.0,538834.22,0.2967666010521752,1.27,0,5,,,NO_CATALYST
SOLARINDS,2026-09-02,SUSTAINED_EP,False,1,2026-08-13,20324.0,18730.0,15,20600.0,20060.0,139030.0,139472.0,0.996830905127911,2.69,0,4,,,NO_CATALYST
HAPPSTMNDS,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-14,420.2,394.8,14,354.85,362.7,4999399.0,2181193.56,2.292047387119555,-2.16,1,2,,,
SHANTIGOLD,2026-09-02,SUSTAINED_EP,False,1,2026-08-14,247.66,231.9,14,243.3,234.78,1230246.0,1818349.56,0.6765728807391688,3.63,2,2,,,NO_CATALYST
GKSL,2026-09-02,SUSTAINED_EP,False,1,2026-08-17,151.36,136.43,13,168.3,162.45,817412.0,543151.08,1.5049440755967936,3.6,1,5,,,NO_CATALYST
MAXESTATES,2026-09-02,SUSTAINED_EP,False,1,2026-08-17,474.35,441.95,13,520.65,503.0,193763.0,228037.6,0.8496975937301567,3.51,1,4,,,NO_CATALYST
RISHABH,2026-09-02,PERSISTENT_EP,True,1,2026-08-17,694.6,648.65,13,746.0,695.7,1177885.0,316102.92,3.726270545049062,7.23,3,1,,,NO_CATALYST
UFLEX,2026-09-02,PERSISTENT_EP,True,1,2026-08-17,586.05,488.4,13,701.8,645.05,2479035.0,616932.86,4.018322188252381,8.8,2,2,,,NO_CATALYST
ASIANENE,2026-09-02,SUSTAINED_EP,False,1,2026-08-18,463.05,425.25,12,504.1,488.4,919172.0,495202.4,1.8561541704967504,3.21,0,5,,,NO_CATALYST
ICIL,2026-09-02,SUSTAINED_EP,False,1,2026-08-18,437.7,388.7,12,447.15,433.45,823554.0,1393118.24,0.5911587231820323,3.16,0,4,,,NO_CATALYST
PRABHA,2026-09-02,SUSTAINED_EP,False,1,2026-08-18,192.2,163.38,12,216.27,212.56,161854.0,360572.78,0.4488802510272683,1.75,1,5,,,NO_CATALYST
DLINKINDIA,2026-09-02,SUSTAINED_EP,False,1,2026-08-19,445.75,418.85,11,447.85,436.1,411216.0,219205.96,1.8759343952144367,2.69,0,3,,,NO_CATALYST
GOPAL,2026-09-02,FIZZLE_OUT_EP,True,1,2026-08-19,288.45,274.15,11,264.9,270.3,126055.0,153143.48,0.8231169880689664,-2.0,0,1,,,
KIRIINDUS,2026-09-02,SUSTAINED_EP,True,1,2026-08-19,431.3,408.95,11,523.65,515.95,977381.0,627656.42,1.55719111420863,1.49,3,4,,,NO_CATALYST
NILKAMAL,2026-09-02,SUSTAINED_EP,False,1,2026-08-19,2033.8,1846.7,11,2063.1,2034.0,16375.0,154294.12,0.1061284772225928,1.43,0,2,,,NO_CATALYST
ORIENTHOT,2026-09-02,SUSTAINED_EP,False,1,2026-08-19,139.5,121.21,11,141.32,138.65,1214254.0,2819850.32,0.4306093807135125,1.93,0,4,,,NO_CATALYST
EPL,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-20,270.1,250.8,10,236.3,240.35,10496347.0,4054459.72,2.588839876302927,-1.69,0,0,,,
KRYSTAL,2026-09-02,SUSTAINED_EP,True,1,2026-08-20,681.35,629.45,10,667.0,647.35,108555.0,45301.42,2.3962825006368456,3.04,0,1,,,NO_CATALYST
MAGADSUGAR,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-20,620.6,580.55,10,559.15,568.05,75176.0,55512.74,1.3542116638450923,-1.57,0,0,,,
KLBRENG-B,2026-09-02,PERSISTENT_EP,True,1,2026-08-21,397.4,357.65,9,443.25,424.25,450114.0,219990.02,2.0460655442460527,4.48,2,1,,,NO_CATALYST
WELENT,2026-09-02,PERSISTENT_EP,True,1,2026-08-21,631.45,584.65,9,741.7,705.55,1021703.0,491276.86,2.079688833705703,5.12,2,4,,,NO_CATALYST
HATSUN,2026-09-02,SUSTAINED_EP,False,1,2026-08-24,1044.5,984.7,8,1193.6,1178.5,244250.0,57375.34,4.257055383026924,1.28,2,3,,,NO_CATALYST
RATNAMANI,2026-09-02,SUSTAINED_EP,False,1,2026-08-24,2697.0,2354.4,8,2634.3,2605.1,44485.0,87800.66,0.506659061560585,1.12,0,2,,,NO_CATALYST
GODREJAGRO,2026-09-02,SUSTAINED_EP,True,1,2026-08-25,610.1,572.75,7,670.25,654.4,2230141.0,442172.8,5.0435960782752804,2.42,1,2,,,NO_CATALYST
CGCL,2026-09-02,SUSTAINED_EP,True,1,2026-08-26,256.35,239.67,6,256.6,250.9,3713359.0,5872945.4,0.6322822275854973,2.27,1,1,,,NO_CATALYST
JAYKAY,2026-09-02,PERSISTENT_EP,True,1,2026-08-26,168.94,158.67,6,169.4,161.97,937003.0,281601.08,3.327412664752564,4.59,1,0,,,NO_CATALYST
OAL,2026-09-02,SUSTAINED_EP,True,1,2026-08-26,401.25,349.35,6,457.95,446.3,51928.0,78355.8,0.6627205643998274,2.61,2,1,,,NO_CATALYST
WEL,2026-09-02,FIZZLE_OUT_EP,False,1,2026-08-26,155.92,134.02,6,75.98,80.84,5897220.0,3981736.86,1.4810672345635618,-6.01,0,0,,,
OMAXE,2026-09-02,PERSISTENT_EP,True,1,2026-08-28,131.74,113.38,4,132.67,126.77,29571125.0,4581699.74,6.454182220155701,4.65,1,0,,,NO_CATALYST
