SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT,RESULT_DATE,DAYS_TO_OR_SINCE_RESULTS,CATALYST_CONTEXT
APLAPOLLO,2026-08-05,SUSTAINED_EP,True,1,2026-08-03,1941.5,1819.5,3,1948.5,1920.0,539758.0,722405.44,0.747167684673028,1.48,0,1,,,NO_CATALYST
ASKAUTOLTD,2026-08-05,PERSISTENT_EP,True,1,2026-08-03,569.65,528.05,3,637.55,551.3,18019129.0,233651.72,77.11960776492465,15.64,1,0,,,NO_CATALYST
ATULAUTO,2026-08-05,PERSISTENT_EP,True,1,2026-08-03,563.35,515.45,3,580.95,557.8,1108494.0,205650.16,5.390192742860011,4.15,1,0,,,NO_CATALYST
IGPL,2026-08-05,SUSTAINED_EP,False,1,2026-08-03,496.65,471.25,3,514.45,503.9,125170.0,40297.54,3.106144940857432,2.09,0,2,,,NO_CATALYST
KABRAEXTRU,2026-08-05,PERSISTENT_EP,True,1,2026-08-03,418.6,394.95,3,454.4,412.45,1022255.0,163349.18,6.258096918515293,10.17,1,0,,,NO_CATALYST
LUMAXIND,2026-08-05,SUSTAINED_EP,True,1,2026-08-03,5772.5,5284.5,3,5798.0,5704.5,28322.0,17632.58,1.606231192485728,1.64,0,1,,,NO_CATALYST
NOCIL,2026-08-05,SUSTAINED_EP,True,1,2026-08-03,174.05,164.17,3,172.99,170.99,558156.0,1602960.74,0.3482031631042941,1.17,0,1,,,NO_CATALYST
ATHERENERG,2026-08-05,SUSTAINED_EP,True,1,2026-08-04,1450.4,1272.7,2,1470.8,1450.4,6958528.0,4938425.76,1.4090579342839002,1.41,0,1,,,NO_CATALYST
BASF,2026-08-05,SUSTAINED_EP,True,1,2026-08-04,3947.1,3729.7,2,4036.6,3947.1,271306.0,36923.96,7.347695100958836,2.27,0,1,,,NO_CATALYST
CAPILLARY,2026-08-05,PERSISTENT_EP,True,1,2026-08-04,534.95,495.55,2,576.35,534.95,7845843.0,519451.42,15.104093853473344,7.74,1,0,,,NO_CATALYST
KEI,2026-08-05,SUSTAINED_EP,True,1,2026-08-04,5500.0,5023.3,2,5577.0,5500.0,1049613.0,377457.14,2.7807475042067025,1.4,0,1,,,NO_CATALYST
MANINFRA,2026-08-05,SUSTAINED_EP,True,1,2026-08-04,111.61,99.82,2,113.47,111.61,2340787.0,1777778.04,1.3166924932878572,1.67,0,1,,,NO_CATALYST
MANYAVAR,2026-08-05,SUSTAINED_EP,True,1,2026-08-04,485.9,418.75,2,504.35,485.9,16405389.0,817883.82,20.058336647373707,3.8,0,1,,,NO_CATALYST
ARTEMISMED,2026-08-05,NEW_EP,True,1,2026-08-05,322.15,301.75,1,322.15,301.75,1314798.0,230910.02,5.69,6.76,0,0,,,NO_CATALYST
CELLO,2026-08-05,NEW_EP,True,1,2026-08-05,398.95,344.85,1,398.95,344.85,33275833.0,284597.62,116.92,15.69,0,0,,,NO_CATALYST
AGARWALEYE,2026-08-05,NEW_EP,True,1,2026-08-05,521.05,493.5,1,521.05,493.5,627046.0,80680.04,7.77,5.58,0,0,,,NO_CATALYST
EMIL,2026-08-05,NEW_EP,True,1,2026-08-05,147.56,133.17,1,147.56,133.17,16769783.0,1617507.6,10.37,10.81,0,0,,,NO_CATALYST
FIEMIND,2026-08-05,NEW_EP,True,1,2026-08-05,2498.0,2324.5,1,2498.0,2324.5,384453.0,49549.28,7.76,7.46,0,0,,,NO_CATALYST
GODIGIT,2026-08-05,NEW_EP,True,1,2026-08-05,280.4,263.3,1,280.4,263.3,8263565.0,997333.14,8.29,6.49,0,0,,,NO_CATALYST
HINDCOPPER,2026-08-05,NEW_EP,True,1,2026-08-05,533.8,492.35,1,533.8,492.35,22701332.0,3504629.6,6.48,8.42,0,0,,,NO_CATALYST
JGCHEM,2026-08-05,NEW_EP,True,1,2026-08-05,548.25,505.75,1,548.25,505.75,1818044.0,192870.84,9.43,8.4,0,0,,,NO_CATALYST
KANSAINER,2026-08-05,NEW_EP,True,1,2026-08-05,210.38,198.92,1,210.38,198.92,1566089.0,309139.8,5.07,5.76,0,0,,,NO_CATALYST
MMP,2026-08-05,NEW_EP,True,1,2026-08-05,329.35,301.05,1,329.35,301.05,382602.0,47425.06,8.07,9.4,0,0,,,NO_CATALYST
OMNI,2026-08-05,NEW_EP,True,1,2026-08-05,732.6,610.5,1,732.6,610.5,10208794.0,544557.52,18.75,20.0,0,0,,,NO_CATALYST
PTC,2026-08-05,NEW_EP,True,1,2026-08-05,198.36,183.44,1,198.36,183.44,17703096.0,996272.96,17.77,8.13,0,0,,,NO_CATALYST
SAPPHIRE,2026-08-05,NEW_EP,True,1,2026-08-05,202.52,192.3,1,202.52,192.3,10606626.0,1338561.88,7.92,5.31,0,0,,,NO_CATALYST
SHILPAMED,2026-08-05,NEW_EP,True,1,2026-08-05,721.75,644.65,1,721.75,644.65,16598958.0,1134843.46,14.63,11.96,0,0,,,NO_CATALYST
SUDEEPPHRM,2026-08-05,NEW_EP,True,1,2026-08-05,958.95,871.8,1,958.95,871.8,1667917.0,312016.76,5.35,10.0,0,0,,,NO_CATALYST
UNIPARTS,2026-08-05,NEW_EP,True,1,2026-08-05,801.65,732.95,1,801.65,732.95,1466681.0,246189.46,5.96,9.37,0,0,,,NO_CATALYST
VSSL,2026-08-05,NEW_EP,True,1,2026-08-05,329.35,304.8,1,329.35,304.8,759558.0,116384.24,6.53,8.05,0,0,,,NO_CATALYST
VARROC,2026-08-05,NEW_EP,True,1,2026-08-05,717.6,680.75,1,717.6,680.75,1320916.0,155492.46,8.5,5.41,0,0,,,NO_CATALYST
WESTLIFE,2026-08-05,NEW_EP,True,1,2026-08-05,587.0,542.55,1,587.0,542.55,862105.0,152586.26,5.65,8.19,0,0,,,NO_CATALYST
