SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT,RESULT_DATE,DAYS_TO_OR_SINCE_RESULTS,CATALYST_CONTEXT
ATULAUTO,2026-08-12,FIZZLE_OUT_EP,False,1,2026-08-03,563.35,515.45,8,504.0,494.1,388251.0,252915.48,1.5351017660128987,2.0,1,0,,,
DEEPINDS,2026-08-12,SUSTAINED_EP,False,1,2026-08-03,649.3,596.9,8,696.1,670.05,782421.0,523912.02,1.4934205937859566,3.89,0,4,,,NO_CATALYST
KIOCL,2026-08-12,SUSTAINED_EP,True,1,2026-08-03,394.9,365.55,8,395.4,390.9,309155.0,228683.64,1.3518894486724105,1.15,0,1,,,NO_CATALYST
RATNAVEER,2026-08-12,SUSTAINED_EP,False,1,2026-08-03,205.79,181.38,8,210.01,206.16,4209276.0,4884218.3,0.8618116024830422,1.87,0,3,,,NO_CATALYST
ROSSTECH,2026-08-12,SUSTAINED_EP,False,1,2026-08-03,1067.1,954.1,8,1089.5,1066.65,183289.0,248485.98,0.7376231045308874,2.14,0,2,,,NO_CATALYST
VINDHYATEL,2026-08-12,PERSISTENT_EP,False,1,2026-08-03,2383.0,1985.9,8,2582.7,2429.0,174110.0,86122.62,2.0216523835433713,6.33,2,0,,,NO_CATALYST
ATHERENERG,2026-08-12,SUSTAINED_EP,False,1,2026-08-04,1450.4,1272.7,7,1569.4,1525.4,4521175.0,4939217.3,0.9153626425790176,2.88,0,3,,,NO_CATALYST
CAPILLARY,2026-08-12,SUSTAINED_EP,True,1,2026-08-04,534.95,495.55,7,528.55,522.95,558490.0,817951.34,0.6827912281432292,1.07,1,1,,,NO_CATALYST
EPACKPEB,2026-08-12,FIZZLE_OUT_EP,True,1,2026-08-04,260.35,243.95,7,236.4,247.15,893994.0,2593369.82,0.34472291344857253,-4.35,0,0,,,
KEI,2026-08-12,SUSTAINED_EP,False,1,2026-08-04,5500.0,5023.3,7,5754.0,5645.0,454178.0,400732.94,1.1333682726456178,1.93,0,3,,,NO_CATALYST
PNGSREVA,2026-08-12,PERSISTENT_EP,False,1,2026-08-04,510.95,443.25,7,620.75,560.4,2136412.0,352219.36,6.065572318341616,10.77,2,1,,,NO_CATALYST
EMIL,2026-08-12,PERSISTENT_EP,True,1,2026-08-05,147.56,133.17,6,193.61,184.75,31604982.0,5983967.22,5.281610148927253,4.8,3,2,,,NO_CATALYST
FIEMIND,2026-08-12,SUSTAINED_EP,False,1,2026-08-05,2498.0,2324.5,6,2645.9,2592.2,153129.0,61983.62,2.470475264271432,2.07,1,2,,,NO_CATALYST
HINDCOPPER,2026-08-12,SUSTAINED_EP,False,1,2026-08-05,533.8,492.35,6,547.7,533.3,36903374.0,4404327.56,8.37888951202349,2.7,0,3,,,NO_CATALYST
MMP,2026-08-12,SUSTAINED_EP,True,1,2026-08-05,329.35,301.05,6,345.2,338.15,48700.0,65421.72,0.7444010949268836,2.08,1,1,,,NO_CATALYST
OMNI,2026-08-12,FIZZLE_OUT_EP,False,1,2026-08-05,732.6,610.5,6,573.35,598.25,1437605.0,1223482.82,1.1750103691688945,-4.16,0,0,,,
PTC,2026-08-12,FIZZLE_OUT_EP,False,1,2026-08-05,198.36,183.44,6,165.41,171.95,2677463.0,1734870.78,1.5433212841362167,-3.8,0,1,,,
WESTLIFE,2026-08-12,SUSTAINED_EP,False,1,2026-08-05,587.0,542.55,6,594.7,583.45,83844.0,172139.14,0.48707109841492174,1.93,0,2,,,NO_CATALYST
HAL,2026-08-12,SUSTAINED_EP,True,1,2026-08-06,4920.0,4645.0,5,4995.0,4909.0,2901166.0,814954.94,3.559909704946387,1.75,0,1,,,NO_CATALYST
IGARASHI,2026-08-12,FIZZLE_OUT_EP,True,1,2026-08-06,493.8,461.05,5,447.85,457.8,80073.0,567726.24,0.1410415696128472,-2.17,0,0,,,
AVALON,2026-08-12,SUSTAINED_EP,True,1,2026-08-07,1965.3,1774.5,4,1963.9,1938.3,406426.0,402675.0,1.0093152045694418,1.32,0,1,,,NO_CATALYST
PGIL,2026-08-12,SUSTAINED_EP,True,1,2026-08-07,2464.1,2221.5,4,2480.4,2434.9,103039.0,195031.36,0.528320163485503,1.87,0,1,,,NO_CATALYST
PAYTM,2026-08-12,SUSTAINED_EP,True,1,2026-08-10,1584.1,1441.6,3,1610.0,1593.7,2609810.0,3601834.0,0.7245780899397363,1.02,0,1,,,NO_CATALYST
SURAKSHA,2026-08-12,PERSISTENT_EP,True,1,2026-08-10,265.5,249.55,3,270.35,258.25,203580.0,80879.16,2.5170884564083007,4.69,1,0,,,NO_CATALYST
UNIVCABLES,2026-08-12,SUSTAINED_EP,True,1,2026-08-10,1693.4,1411.2,3,1708.9,1669.4,173152.0,265733.32,0.6516006348018382,2.37,0,1,,,NO_CATALYST
ESTER,2026-08-12,FIZZLE_OUT_EP,True,1,2026-08-11,104.5,99.22,2,96.27,104.5,595516.0,243342.86,2.447230216658093,-7.88,0,0,,,
FINCABLES,2026-08-12,PERSISTENT_EP,True,1,2026-08-11,1207.85,1058.05,2,1280.05,1207.85,20153531.0,547056.64,36.83993489229927,5.98,1,0,,,NO_CATALYST
INDSWFTLAB,2026-08-12,PERSISTENT_EP,True,1,2026-08-11,284.68,237.24,2,300.0,284.68,8635452.0,1226384.3,7.041391511616709,5.38,1,0,,,NO_CATALYST
YATRA,2026-08-12,PERSISTENT_EP,True,1,2026-08-11,114.31,104.53,2,118.99,114.31,8462912.0,1380176.88,6.131758995991876,4.09,1,0,,,NO_CATALYST
ZYDUSLIFE,2026-08-12,SUSTAINED_EP,True,1,2026-08-11,1191.0,1119.0,2,1205.0,1191.0,4567528.0,1348095.96,3.3881326964291176,1.18,0,1,,,NO_CATALYST
