SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT,RESULT_DATE,DAYS_TO_OR_SINCE_RESULTS,CATALYST_CONTEXT
ATULAUTO,2026-09-04,FIZZLE_OUT_EP,False,1,2026-08-03,563.35,515.45,25,465.15,461.3,88513.0,266447.18,0.332197173188322,0.83,1,0,,,
BLUEDART,2026-09-04,FIZZLE_OUT_EP,False,1,2026-08-03,5427.0,5160.3,25,4991.7,5028.8,5838.0,25441.0,0.22947211194528516,-0.74,0,0,,,
DEEPINDS,2026-09-04,PERSISTENT_EP,False,1,2026-08-03,649.3,596.9,25,786.45,744.85,1324171.0,577828.14,2.2916346718593523,5.59,2,8,,,NO_CATALYST
IGPL,2026-09-04,SUSTAINED_EP,False,1,2026-08-03,496.65,471.25,25,567.4,548.85,200277.0,78225.34,2.5602573283797807,3.38,2,5,,,NO_CATALYST
KABRAEXTRU,2026-09-04,SUSTAINED_EP,False,1,2026-08-03,418.6,394.95,25,579.15,564.8,130668.0,352787.24,0.37038754576270955,2.54,4,2,,,NO_CATALYST
PROSTARM,2026-09-04,SUSTAINED_EP,False,1,2026-08-03,135.87,127.04,25,134.73,129.73,275346.0,215990.36,1.2748068941595356,3.85,1,6,,,NO_CATALYST
ROSSTECH,2026-09-04,SUSTAINED_EP,False,1,2026-08-03,1067.1,954.1,25,1150.5,1116.3,234989.0,239938.9,0.9793701646544183,3.06,0,6,,,NO_CATALYST
URBANCO,2026-09-04,SUSTAINED_EP,False,1,2026-08-03,146.19,129.39,25,181.09,177.46,6940698.0,9967309.64,0.6963461807332796,2.05,2,5,,,NO_CATALYST
EPACKPEB,2026-09-04,FIZZLE_OUT_EP,False,1,2026-08-04,260.35,243.95,24,231.11,227.3,324727.0,1180176.04,0.27515132403467535,1.68,0,0,,,
GRAPHITE,2026-09-04,SUSTAINED_EP,True,1,2026-08-04,710.05,657.95,24,733.6,721.3,1066661.0,1362441.54,0.7829040503271795,1.71,1,9,,,NO_CATALYST
KEI,2026-09-04,FIZZLE_OUT_EP,True,1,2026-08-04,5500.0,5023.3,24,4850.0,5327.0,2381568.0,440208.96,5.4100852467882525,-8.95,0,6,,,
UNIMECH,2026-09-04,SUSTAINED_EP,False,1,2026-08-04,1334.1,1259.8,24,1502.7,1465.3,179849.0,200593.8,0.8965830449395744,2.55,2,3,,,NO_CATALYST
ARTEMISMED,2026-09-04,PERSISTENT_EP,True,1,2026-08-05,322.15,301.75,23,332.8,319.85,885338.0,336466.86,2.6312784563686304,4.05,1,4,,,NO_CATALYST
FIEMIND,2026-09-04,FIZZLE_OUT_EP,False,1,2026-08-05,2498.0,2324.5,23,2085.8,2036.9,46943.0,85335.8,0.5500973799976094,2.4,1,2,,,
KANSAINER,2026-09-04,FIZZLE_OUT_EP,False,1,2026-08-05,210.38,198.92,23,194.2,195.11,2465067.0,272558.14,9.044187783201044,-0.47,0,2,,,
MMP,2026-09-04,SUSTAINED_EP,False,1,2026-08-05,329.35,301.05,23,404.15,395.95,112103.0,88020.18,1.2736056663369697,2.07,2,7,,,NO_CATALYST
OMNI,2026-09-04,FIZZLE_OUT_EP,False,1,2026-08-05,732.6,610.5,23,526.0,519.25,303506.0,1286292.78,0.23595405705379144,1.3,0,0,,,
PTC,2026-09-04,FIZZLE_OUT_EP,False,1,2026-08-05,198.36,183.44,23,156.29,155.25,849440.0,2027062.96,0.4190496382016669,0.67,0,1,,,
