SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT,RESULT_DATE,DAYS_TO_OR_SINCE_RESULTS,CATALYST_CONTEXT
ATULAUTO,2026-08-14,FIZZLE_OUT_EP,False,1,2026-08-03,563.35,515.45,10,494.6,500.15,105062.0,260085.14,0.4039523365310298,-1.11,1,0,,,
IGPL,2026-08-14,FIZZLE_OUT_EP,False,1,2026-08-03,496.65,471.25,10,458.3,459.55,32865.0,49418.24,0.6650378483733942,-0.27,0,2,,,
KIOCL,2026-08-14,SUSTAINED_EP,False,1,2026-08-03,394.9,365.55,10,389.55,384.85,156282.0,228266.84,0.6846460922664019,1.22,0,2,,,NO_CATALYST
RATNAVEER,2026-08-14,PERSISTENT_EP,False,1,2026-08-03,205.79,181.38,10,230.16,220.0,21537789.0,5148215.82,4.183544309919781,4.62,2,3,,,NO_CATALYST
ROSSTECH,2026-08-14,SUSTAINED_EP,False,1,2026-08-03,1067.1,954.1,10,1073.45,1057.15,156621.0,251038.06,0.6238934446832485,1.54,0,3,,,NO_CATALYST
URBANCO,2026-08-14,SUSTAINED_EP,True,1,2026-08-03,146.19,129.39,10,144.39,141.34,9659315.0,6030076.96,1.601856006826155,2.16,0,1,,,NO_CATALYST
CAPILLARY,2026-08-14,SUSTAINED_EP,False,1,2026-08-04,534.95,495.55,9,538.05,531.05,398221.0,836800.0,0.47588551625239006,1.32,1,2,,,NO_CATALYST
EPACKPEB,2026-08-14,FIZZLE_OUT_EP,False,1,2026-08-04,260.35,243.95,9,229.7,238.55,1122008.0,2350729.12,0.47730212318125365,-3.71,0,0,,,
UNIMECH,2026-08-14,PERSISTENT_EP,False,1,2026-08-04,1334.1,1259.8,9,1522.6,1426.9,668915.0,200910.52,3.3294174939171928,6.71,2,0,,,NO_CATALYST
MANYAVAR,2026-08-14,SUSTAINED_EP,False,1,2026-08-04,485.9,418.75,9,528.75,523.0,374338.0,1260954.5,0.2968687609267424,1.1,0,4,,,NO_CATALYST
OMNI,2026-08-14,FIZZLE_OUT_EP,False,1,2026-08-05,732.6,610.5,8,579.0,586.5,443076.0,1256752.18,0.3525563806859679,-1.28,0,0,,,
PTC,2026-08-14,FIZZLE_OUT_EP,False,1,2026-08-05,198.36,183.44,8,161.47,164.8,1981660.0,1786521.18,1.1092283831753957,-2.02,0,1,,,
SHILPAMED,2026-08-14,SUSTAINED_EP,False,1,2026-08-05,721.75,644.65,8,822.0,807.05,1036681.0,1958458.74,0.5293351240067483,1.85,1,4,,,NO_CATALYST
VSSL,2026-08-14,PERSISTENT_EP,True,1,2026-08-05,329.35,304.8,8,353.35,327.15,784785.0,165130.54,4.7525127695942855,8.01,1,2,,,NO_CATALYST
GMMPFAUDLR,2026-08-14,SUSTAINED_EP,False,1,2026-08-06,979.85,857.1,7,1048.25,1012.9,334486.0,230588.88,1.4505729851326743,3.49,0,3,,,NO_CATALYST
HAL,2026-08-14,SUSTAINED_EP,False,1,2026-08-06,4920.0,4645.0,7,5029.9,4945.0,1537351.0,857431.98,1.7929713794906508,1.72,0,2,,,NO_CATALYST
DEVYANI,2026-08-14,SUSTAINED_EP,True,1,2026-08-07,134.73,123.86,6,143.76,138.51,10735853.0,4903959.62,2.1892213296813403,3.79,1,1,,,NO_CATALYST
GOCLCORP,2026-08-14,FIZZLE_OUT_EP,True,1,2026-08-07,438.25,410.55,6,397.1,430.9,148404.0,153190.1,0.9687571194222081,-7.84,0,0,,,
SBCL,2026-08-14,SUSTAINED_EP,True,1,2026-08-07,920.9,767.45,6,1040.1,1008.65,270327.0,771147.58,0.35055157665151465,3.12,1,1,,,NO_CATALYST
COMSYN,2026-08-14,SUSTAINED_EP,True,1,2026-08-10,269.03,224.83,5,288.33,282.66,398994.0,1104553.78,0.3612264130769622,2.01,0,1,,,NO_CATALYST
KPL,2026-08-14,SUSTAINED_EP,True,1,2026-08-10,3134.1,2611.8,5,3436.5,3343.0,41296.0,50055.02,0.8250121566228522,2.8,1,1,,,NO_CATALYST
INDSWFTLAB,2026-08-14,SUSTAINED_EP,True,1,2026-08-11,284.68,237.24,4,304.18,296.63,618959.0,1386119.36,0.44654090972367627,2.55,1,1,,,NO_CATALYST
KSHINTL,2026-08-14,SUSTAINED_EP,True,1,2026-08-11,988.95,900.6,4,1028.6,1001.45,327748.0,419748.06,0.780820761863676,2.71,0,1,,,NO_CATALYST
LUMAXTECH,2026-08-14,SUSTAINED_EP,True,1,2026-08-11,2076.3,1738.2,4,2025.7,1987.5,261553.0,276857.92,0.9447192263815318,1.92,0,1,,,NO_CATALYST
ARIES,2026-08-14,PERSISTENT_EP,True,1,2026-08-12,397.35,355.8,3,413.5,386.1,220076.0,37536.78,5.862942958879264,7.1,1,0,,,NO_CATALYST
MARKSANS,2026-08-14,PERSISTENT_EP,True,1,2026-08-12,312.6,278.95,3,333.0,303.4,20243407.0,3126952.7,6.473844967338329,9.76,1,0,,,NO_CATALYST
TIIL,2026-08-14,PERSISTENT_EP,True,1,2026-08-12,2878.3,2608.9,3,3088.7,2887.6,697944.0,15542.78,44.90470816675009,6.96,1,0,,,NO_CATALYST
JUBLCPL,2026-08-14,SUSTAINED_EP,True,1,2026-08-13,2322.6,1935.5,2,2407.5,2322.6,170516.0,15161.96,11.246303248392689,3.66,0,1,,,NO_CATALYST
SARDAEN,2026-08-14,SUSTAINED_EP,True,1,2026-08-13,523.3,489.45,2,531.15,523.3,1572136.0,765721.26,2.0531439861027234,1.5,0,1,,,NO_CATALYST
APEX,2026-08-14,NEW_EP,True,1,2026-08-14,426.35,367.7,1,426.35,367.7,9316207.0,153668.88,60.63,15.95,0,0,,,NO_CATALYST
BALUFORGE,2026-08-14,NEW_EP,True,1,2026-08-14,493.75,446.25,1,493.75,446.25,8980616.0,581794.32,15.44,10.64,0,0,,,NO_CATALYST
DREDGECORP,2026-08-14,NEW_EP,True,1,2026-08-14,1166.4,1064.4,1,1166.4,1064.4,1436038.0,218425.32,6.57,9.58,0,0,,,NO_CATALYST
ELGIEQUIP,2026-08-14,NEW_EP,True,1,2026-08-14,609.5,576.55,1,609.5,576.55,6010479.0,354358.76,16.96,5.72,0,0,,,NO_CATALYST
GALAXYSURF,2026-08-14,NEW_EP,True,1,2026-08-14,2508.4,2090.4,1,2508.4,2090.4,632628.0,16632.06,38.04,20.0,0,0,,,NO_CATALYST
HAPPSTMNDS,2026-08-14,NEW_EP,True,1,2026-08-14,420.2,394.8,1,420.2,394.8,6697476.0,1287437.44,5.2,6.43,0,0,,,NO_CATALYST
LGEINDIA,2026-08-14,NEW_EP,True,1,2026-08-14,1729.7,1578.3,1,1729.7,1578.3,9832158.0,531305.36,18.51,9.59,0,0,,,NO_CATALYST
MANORAMA,2026-08-14,NEW_EP,True,1,2026-08-14,1737.1,1614.1,1,1737.1,1614.1,7298393.0,159530.64,45.75,7.62,0,0,,,NO_CATALYST
PRAKASH,2026-08-14,NEW_EP,True,1,2026-08-14,137.68,122.53,1,137.68,122.53,3123125.0,414004.54,7.54,12.36,0,0,,,NO_CATALYST
RGL,2026-08-14,NEW_EP,True,1,2026-08-14,123.03,111.14,1,123.03,111.14,5684564.0,661570.18,8.59,10.7,0,0,,,NO_CATALYST
SHANTIGOLD,2026-08-14,NEW_EP,True,1,2026-08-14,247.66,231.9,1,247.66,231.9,8748136.0,1227821.12,7.12,6.8,0,0,,,NO_CATALYST
SUDARSCHEM,2026-08-14,NEW_EP,True,1,2026-08-14,1118.1,1052.8,1,1118.1,1052.8,3806017.0,257231.24,14.8,6.2,0,0,,,NO_CATALYST
