SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT,RESULT_DATE,DAYS_TO_OR_SINCE_RESULTS,CATALYST_CONTEXT
ASKAUTOLTD,2026-08-26,SUSTAINED_EP,False,1,2026-08-03,569.65,528.05,18,617.0,605.2,180959.0,884916.92,0.2044926432189815,1.95,2,3,,,NO_CATALYST
ATULAUTO,2026-08-26,FIZZLE_OUT_EP,False,1,2026-08-03,563.35,515.45,18,487.5,485.95,35512.0,256985.52,0.1381867741030701,0.32,1,0,,,
BLUEDART,2026-08-26,FIZZLE_OUT_EP,False,1,2026-08-03,5427.0,5160.3,18,5007.0,4994.5,1989.0,25609.86,0.07766539918609473,0.25,0,0,,,
DALMIASUG,2026-08-26,SUSTAINED_EP,True,1,2026-08-03,411.85,350.9,18,481.1,470.25,352190.0,751041.22,0.46893564643495866,2.31,2,3,,,NO_CATALYST
DEEPINDS,2026-08-26,SUSTAINED_EP,False,1,2026-08-03,649.3,596.9,18,664.65,649.65,382203.0,531370.42,0.7192779003392774,2.31,0,6,,,NO_CATALYST
DHAMPURSUG,2026-08-26,SUSTAINED_EP,True,1,2026-08-03,143.84,135.48,18,183.67,179.72,928474.0,746042.96,1.2445315481564225,2.2,5,2,,,NO_CATALYST
IGPL,2026-08-26,PERSISTENT_EP,False,1,2026-08-03,496.65,471.25,18,523.85,488.05,285768.0,61415.34,4.65303945235832,7.34,2,2,,,NO_CATALYST
INDGN,2026-08-26,SUSTAINED_EP,False,1,2026-08-03,545.25,515.15,18,569.7,563.55,374825.0,432546.1,0.8665550330935824,1.09,0,6,,,NO_CATALYST
KIOCL,2026-08-26,SUSTAINED_EP,False,1,2026-08-03,394.9,365.55,18,388.95,379.8,59373.0,192728.12,0.30806609850186883,2.41,0,4,,,NO_CATALYST
ALKYLAMINE,2026-08-26,SUSTAINED_EP,False,1,2026-08-04,1921.2,1824.4,17,2089.6,2061.5,83245.0,141074.08,0.5900800487233374,1.36,1,6,,,NO_CATALYST
ATHERENERG,2026-08-26,SUSTAINED_EP,False,1,2026-08-04,1450.4,1272.7,17,1494.6,1439.4,4256363.0,4457483.84,0.9548801863968172,3.83,0,4,,,NO_CATALYST
BASF,2026-08-26,SUSTAINED_EP,False,1,2026-08-04,3947.1,3729.7,17,3914.0,3872.2,14043.0,50198.28,0.27975062093760983,1.08,0,5,,,NO_CATALYST
EPACKPEB,2026-08-26,FIZZLE_OUT_EP,False,1,2026-08-04,260.35,243.95,17,232.15,236.1,217850.0,1391758.1,0.15652863813043372,-1.67,0,0,,,
PNGSREVA,2026-08-26,SUSTAINED_EP,True,1,2026-08-04,510.95,443.25,17,555.65,536.9,147361.0,420281.28,0.35062470543536933,3.49,2,2,,,NO_CATALYST
UNIMECH,2026-08-26,SUSTAINED_EP,True,1,2026-08-04,1334.1,1259.8,17,1500.2,1473.5,240768.0,199255.2,1.2083398576298134,1.81,2,1,,,NO_CATALYST
MANYAVAR,2026-08-26,SUSTAINED_EP,False,1,2026-08-04,485.9,418.75,17,546.6,536.5,420758.0,1368886.56,0.30737243851674606,1.88,0,7,,,NO_CATALYST
YASHO,2026-08-26,SUSTAINED_EP,False,1,2026-08-04,4359.9,3884.8,17,4369.6,4201.7,37594.0,62236.84,0.6040473777267612,4.0,1,5,,,NO_CATALYST
EMIL,2026-08-26,SUSTAINED_EP,False,1,2026-08-05,147.56,133.17,16,184.54,180.34,1160202.0,7016369.66,0.16535645301219776,2.33,3,4,,,NO_CATALYST
