SYMBOL,TRIGGER_REASON_FOR_RESEARCH,LABEL,ANCHOR_DATE,ANCHOR_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PCT_MOVE_VS_PREV,VOLUME_MULTIPLE
JINDALPOLY,3rd Sustained occurrence for this anchor — check if fundamentals confirm the move is holding,SUSTAINED_EP,2026-08-12,666.55,28,741.5,3.21,0.8765670245056099
ULTRAMAR,3rd Sustained occurrence for this anchor — check if fundamentals confirm the move is holding,SUSTAINED_EP,2026-08-31,442.85,15,435.0,2.5,0.39754543644025186
ENGINERSIN,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-01,280.05,14,285.25,7.1,3.0052412589404605
CENTUM,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-07,4376.9,10,4739.2,9.37,4.3889519261074
KROSS,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-10,231.54,7,256.93,7.42,4.074826264643073
SMSPHARMA,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-11,463.45,6,466.5,5.32,3.545681260267965
PATANJALI,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-16,365.0,4,396.2,7.96,3.9316124949876925
SAATVIKGL,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-16,413.25,4,431.6,4.81,2.0178838942501196
TEGA,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-17,1920.0,3,2129.0,9.57,14.495917019729157
ACMESOLAR,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-18,435.25,2,458.1,5.25,3.0310803304722262
LUXIND,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-18,1139.2,2,1192.4,4.67,9.490038564868977
SAMBHV,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-18,147.57,2,155.13,5.12,27.281541494547653
