SYMBOL,TRIGGER_REASON_FOR_RESEARCH,LABEL,ANCHOR_DATE,ANCHOR_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PCT_MOVE_VS_PREV,VOLUME_MULTIPLE
INDGN,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-03,545.25,21,611.65,5.65,8.30008065893515
ALIVUS,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-04,1335.8,20,1405.7,4.11,9.133481014145419
STOVEKRAFT,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-06,800.2,18,849.2,6.48,3.366947241014209
KIRIINDUS,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-19,431.3,9,530.9,7.71,5.469628306657218
PARAGMILK,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-21,225.5,7,254.42,7.06,4.80294164376515
