SYMBOL,TRIGGER_REASON_FOR_RESEARCH,LABEL,ANCHOR_DATE,ANCHOR_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PCT_MOVE_VS_PREV,VOLUME_MULTIPLE
PRECWIRE,3rd Sustained occurrence for this anchor — check if fundamentals confirm the move is holding,SUSTAINED_EP,2026-08-13 00:00:00,468.65,31,502.6,2.8,0.7252551328127463
NITINSPIN,3rd Sustained occurrence for this anchor — check if fundamentals confirm the move is holding,SUSTAINED_EP,2026-08-18 00:00:00,606.9,28,612.35,1.12,0.11687875973546663
KCP,3rd Sustained occurrence for this anchor — check if fundamentals confirm the move is holding,SUSTAINED_EP,2026-08-20 00:00:00,165.08,26,163.29,2.58,0.7622525209507898
HERANBA,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-08-24 00:00:00,178.35,24,187.6,8.9,40.01179250662068
CYIENT,3rd Sustained occurrence for this anchor — check if fundamentals confirm the move is holding,SUSTAINED_EP,2026-08-25 00:00:00,979.05,23,1094.7,3.49,0.3384708184848427
TNPL,3rd Sustained occurrence for this anchor — check if fundamentals confirm the move is holding,SUSTAINED_EP,2026-09-03 00:00:00,154.36,16,151.6,1.79,0.9994751770093425
MAHSEAMLES,3rd Sustained occurrence for this anchor — check if fundamentals confirm the move is holding,SUSTAINED_EP,2026-09-04 00:00:00,688.1,15,715.65,1.0,0.7553549971396918
HBLENGINE,3rd Sustained occurrence for this anchor — check if fundamentals confirm the move is holding,SUSTAINED_EP,2026-09-17 00:00:00,756.75,7,806.0,3.96,3.4905941672574117
ISGEC,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-21 00:00:00,852.85,5,890.55,4.76,3.0014317820485763
STEELCAS,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-22 00:00:00,350.15,4,376.5,5.23,7.591419667153232
MUKANDLTD,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-23 00:00:00,157.11,3,167.05,7.59,4.9199166489366135
RPGLIFE,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-23 00:00:00,3025.4,3,3050.6,5.2,4.770063522922312
GREAVESCOT,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-24 00:00:00,221.83,2,234.78,5.84,6.150165898397851
REMSONSIND,1st Persistent pivot for this anchor — check if fundamentals support continued conviction,PERSISTENT_EP,2026-09-24 00:00:00,111.12,2,116.8,5.11,24.495636787220644
