SYMBOL,TRIGGER_REASON_FOR_RESEARCH,LABEL,ANCHOR_DATE,ANCHOR_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PCT_MOVE_VS_PREV,VOLUME_MULTIPLE
HINDCOPPER,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-05,533.8,16,556.05,4.39,7.49511678658821
INDSWFTLAB,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-11,284.68,12,367.48,13.29,5.03078663635261
ARIES,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-12,397.35,11,503.7,12.75,21.046548290252648
RGL,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-14,123.03,9,152.58,14.83,55.89837220142227
TVSSRICHAK,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-14,4478.1,9,5311.8,10.39,8.408067812322235
RUBICON,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-17,1798.7,8,1818.8,6.44,2.0857656923415013
JINDALSAW,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-21,291.65,4,302.45,7.35,6.370358858726968
WELENT,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-21,631.45,4,692.85,4.82,2.619558968775588
HATSUN,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-24,1044.5,3,1086.55,5.44,3.306950174143412
KRBL,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-24,437.8,3,447.4,5.77,4.665402232687199
CYIENT,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-25,979.05,2,1047.7,7.01,18.697155893943997
GENESYS,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-25,214.25,2,246.3,14.96,32.85908094525717
