SYMBOL,TRIGGER_REASON_FOR_RESEARCH,LABEL,ANCHOR_DATE,ANCHOR_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PCT_MOVE_VS_PREV,VOLUME_MULTIPLE
ASTRAL,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,1592.0,1,1592.0,8.74,20.54
GPIL,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,243.31,1,243.31,6.25,5.71
INGERRAND,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,4606.4,1,4606.4,7.32,8.48
JUBLCPL,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,2322.6,1,2322.6,20.0,29.3
MIDHANI,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,444.85,1,444.85,8.91,16.65
MUNJALAU,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,119.37,1,119.37,19.57,26.49
PRECWIRE,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,468.65,1,468.65,10.98,18.55
RSL,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,166.77,1,166.77,6.96,13.21
SARDAEN,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,523.3,1,523.3,6.92,78.52
SKFINDIA,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,1606.3,1,1606.3,5.15,35.16
SOLARINDS,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,20324.0,1,20324.0,8.51,5.62
SURAKSHA,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,304.45,1,304.45,12.61,46.03
VADILALIND,New EP triggered — establish baseline fundamentals/news context,NEW_EP,2026-08-13,7781.0,1,7781.0,7.38,15.86
