TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-25,2026-09-25,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,14925.83,15044.00,14925.83,15040.00,15040.00,14925.83,,15040.00,,,46,689144.59,15,F1,1,,,,,
2026-09-25,2026-09-25,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,14951.00,15045.00,14951.00,15038.64,15045.00,14949.98,,15038.64,,,926,13908194.00,63,F1,1,,,,,
2026-09-25,2026-09-25,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15090.00,15099.99,14940.00,15050.00,15050.00,14936.00,,15050.00,,,625,9390706.10,74,F1,1,,,,,
2026-09-25,2026-09-25,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,14965.00,15080.00,14965.00,15000.00,15000.00,14965.00,,15015.00,,,29,435340.00,7,F1,1,,,,,
2026-09-25,2026-09-25,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,14921.01,15048.00,14921.01,15045.77,15048.00,14922.32,,15045.77,,,592,8896163.67,43,F1,1,,,,,
2026-09-25,2026-09-25,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,14948.10,15050.00,14948.10,15048.66,15050.00,14942.72,,15048.66,,,175,2625278.14,43,F1,1,,,,,
2026-09-25,2026-09-25,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15100.00,15100.00,15005.21,15100.00,15100.00,14961.48,,15100.00,,,284,4281846.53,24,F1,1,,,,,
2026-09-25,2026-09-25,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15001.00,15100.00,15001.00,15100.00,15100.00,15105.00,,15100.00,,,73,1098857.04,15,F1,1,,,,,
2026-09-25,2026-09-25,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,14810.01,14900.00,14810.01,14900.00,14900.00,15150.00,,14513.00,,,21,312270.07,3,F1,1,,,,,
2026-09-25,2026-09-25,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,14808.00,14998.00,14808.00,14998.00,14998.00,15030.00,,14998.00,,,56,835778.15,7,F1,1,,,,,
